character,freeword1,freeword2,freeword3,freeword4,freeword5,freeword6,freeword7,freeword8,freeword9,freeword10
肉食系,すきやき,しゃぶしゃぶ,焼肉,ハンバーグ,,,,,,
草食系,精進料理,オーガニック料理,豆腐料理,サラダ,,,,,,
おしゃれ,オイスターバー,オーガニック料理,フレンチ,イタリアン,バー,カフェ,,,,
素朴,郷土料理,居酒屋,,,,,,,,
無難,居酒屋,回転寿司,ファミリーレストラン,チェーン店,,,,,,
マニアック,きりたんぽ鍋,釜飯,鴨料理,,,,,,,
渋い,割烹,懐石料理,小料理,,,,,,,
枯れ専,会席料理,料亭,精進料理,パブ・スナック,,,,,,
太め,ホルモン,ハンバーグ,豚肉料理,ラーメン,とんかつ,ピザ,,,,
アーティスティック,創作和食,創作料理,無国籍料理,ちゃんこ鍋,,,,,,
韓流,韓,焼肉,マッコリ,サムギョプサル,,,,,,
ミーハー,流行,ハワイアン,,,,,,,,
中性的,女子会,,,,,,,,,
健康志向,健康,野菜,オーガニック,,,,,,,
サバサバ,辛い,激辛,,,,,,,,
イケメン,ラーメン,つけ麺,,,,,,,,
自然体,オーガニック,自然,,,,,,,,
王子様っぽい,チーズ,フレンチ,,,,,,,,
カジュアル,カジュアル,,,,,,,,,
温厚,あたたかい,温かい,鍋,,,,,,,
味がある,食感,,,,,,,,,
濃い,濃い,こってり,,,,,,,,
薄い,薄い,あっさり,さっぱり,,,,,,,